ebene_resultat;wahl_jahr;geoLevelName;kanton_nummer;kanton_bezeichnung;gemeinde_nummer;gemeinde_bezeichnung;partei_id_red1;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
Schweiz;2023;Schweiz;;;;;1;FDP;PLR;PLR;FDP;;;;79;651;234;417;28;12;16;29;10;19;-1;2;-3;364052.68995;366312.89837;-2260;14.251526922;15.110297508;-0.858770586;0;3
Schweiz;2023;Schweiz;;;;;3;SP;PS;PS;SP;;;;74;703;376;327;41;24;17;39;25;14;2;-1;3;466713.74091;408134.17963;58580;18.270386752;16.835412853;1.4349738989;0;2
Schweiz;2023;Schweiz;;;;;4;SVP;UDC;UDC;SVP;;;;71;619;140;479;62;12;50;53;13;40;9;-1;10;713470.87974;620349.97191;93121;27.930158825;25.589250819;2.3409080054;1;1
Schweiz;2023;Schweiz;;;;;7;EVP;PEV;PEV;EVP;;;;29;366;190;176;2;0;2;3;2;1;-1;-2;1;49828.355691;50316.726593;-488;1.9506246547;2.0755499242;-0.12492527;0;8
Schweiz;2023;Schweiz;;;;;8;CSP;PCS;PCS;CSP;;;;1;7;4;3;0;0;0;0;0;0;0;0;0;2397.4563617;6237.8482763;-3840;0.0938529362;0.2573093759;-0.16345644;0;14
Schweiz;2023;Schweiz;;;;;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;;;;8;109;57;52;0;0;0;2;1;1;-2;-1;-1;18434.958511;25428.161469;-6993;0.7216711064;1.048904056;-0.32723295;0;10
Schweiz;2023;Schweiz;;;;;12;FGA;AVF;AVF;FGA;;;;1;36;20;16;0;0;0;0;0;0;0;0;0;4342.9359597;7709.3001635;-3366;0.1700123923;0.3180063262;-0.147993934;0;13
Schweiz;2023;Schweiz;;;;;13;GRÜNE;VERT-E-S;VERDI;GREENS;;;;68;643;344;299;23;13;10;28;17;11;-5;-4;-1;249891.52437;319997.03584;-70106;9.7824734866;13.19978203;-3.417308543;0;5
Schweiz;2023;Schweiz;;;;;14;SD;DS;DS;SD;;;;4;37;9;28;0;0;0;0;0;0;0;0;0;2029.9658799;3201.8493777;-1172;0.0794668305;0.1320753293;-0.052608499;0;15
Schweiz;2023;Schweiz;;;;;16;EDU;UDF;UDF;EDU;;;;16;197;59;138;2;0;2;1;0;1;1;0;1;31512.804919;24147.272346;7366;1.2336279887;0.9960677628;0.2375602259;0;9
Schweiz;2023;Schweiz;;;;;18;Lega;Lega;Lega;Lega;;;;5;40;11;29;1;0;1;1;0;1;0;0;0;14159.854794;18196.981051;-4037;0.5543141347;0.7506200264;-0.196305892;0;11
Schweiz;2023;Schweiz;;;;;31;GLP;PVL;PVL;GLP;;;;86;839;351;488;10;7;3;16;8;8;-6;-1;-5;192944.06849;189162.47308;3782;7.553158272;7.8028954435;-0.249737172;0;6
