kanton_nummer;kanton_bezeichnung;liste_nummer;liste_nummer_kanton;liste_bezeichnung;liste_1;liste_2;liste_3;liste_4;liste_5;liste_6;liste_7;liste_8;liste_9;liste_10;liste_11;liste_12;liste_13;liste_14;liste_15;liste_16;liste_17;liste_18;liste_19;liste_20;liste_21;liste_22;liste_23;liste_24;liste_25;liste_26;liste_27;liste_28;liste_29;liste_30;liste_31;liste_32;liste_33;liste_34;liste_35;liste_36;liste_37;liste_38;liste_39;liste_40;liste_41;liste_42;liste_43;liste_44;liste_45;liste_46;liste_47;liste_48;liste_49;liste_50;liste_51;liste_52;liste_ohne_listenbezeichnung;stimmen_liste_veraendert;stimmen_liste_unveraendert;stimmen_liste;wahlzettel_liste_unveraendert;wahlzettel_liste_veraendert;wahlzettel_liste;wahlzettel_ohne_listenbez
1;Zürich;1;1;SVP Schweizerische Volkspartei;1512651;2253;787;5180;34008;9902;2206;45;2859;14;53;10;142;277;1158;39;115;279;24;29;56;671;115;38;272;37;11;16;143;55;40;18;1918;227;192;150;213;2328;21;93;58;233;153;31;0;0;0;0;0;0;0;0;20478;1599598;2607660;4207258;72435;45586;118021;
1;Zürich;2;2;SP – Sozialdemokratische Partei;7208;1316249;61276;31603;8744;12932;3102;4426;125;2301;842;2748;313;27;49;61;407;50;94;114;118;16;171;648;26;58;2956;837;118;325;651;239;145;415;8;16;37;281;50;132;1019;421;167;181;0;0;0;0;0;0;0;0;29356;1491062;1696536;3187598;47126;43188;90314;
1;Zürich;3;3;GRÜNE;3015;96629;524483;23982;3714;6464;2277;2512;72;3082;651;793;203;11;30;41;218;40;73;65;54;7;79;276;29;13;893;635;53;173;695;149;110;345;8;13;9;263;79;72;516;195;141;113;0;0;0;0;0;0;0;0;20718;693993;668844;1362837;18579;18318;36897;
1;Zürich;4;4;Grünliberale – GLP;9304;37124;19682;681748;20989;16806;2512;284;112;420;2235;82;1172;17;73;41;393;131;276;67;85;35;164;71;24;42;180;156;323;562;246;49;69;410;24;25;21;198;71;88;66;471;128;49;0;0;0;0;0;0;0;0;24419;821444;882540;1703984;24515;23228;47743;
1;Zürich;5;5;FDP.Die Liberalen;40512;7462;1905;22686;835770;15068;1708;76;341;46;295;24;705;123;196;26;244;1402;55;27;91;326;165;31;56;64;35;35;642;268;38;37;159;275;45;107;33;223;34;110;31;152;129;43;0;0;0;0;0;0;0;0;22378;954178;997344;1951522;27704;26307;54011;
1;Zürich;6;6;Die Mitte;11577;9314;3317;16404;14836;422102;2446;125;309;94;283;30;435;22;81;77;649;106;116;79;387;79;285;40;28;312;47;43;733;242;112;26;80;483;34;1;59;190;80;81;36;226;124;35;0;0;0;0;0;0;0;0;16349;502514;585612;1088126;16267;14451;30718;
1;Zürich;7;7;Evangelische Volkspartei (EVP);5924;5923;3424;6754;4769;6225;165621;85;1346;128;283;30;216;29;26;349;201;53;74;397;68;50;81;53;11;41;17;38;178;156;102;18;73;311;89;1;46;216;61;195;45;264;110;40;0;0;0;0;0;0;0;0;7809;211930;185148;397078;5143;5329;10472;
1;Zürich;8;8;AL – Alternative Liste;337;12870;6203;1137;234;549;185;42998;29;773;132;386;35;1;1;15;68;6;3;23;22;3;11;82;9;20;414;224;6;113;158;82;60;402;1;4;9;75;25;14;616;77;32;49;0;0;0;0;0;0;0;0;4882;73375;81936;155311;2276;1516;3792;
1;Zürich;9;9;EDU;5328;168;64;244;635;741;1429;2;78208;0;0;2;20;11;68;47;24;6;2;14;13;60;8;5;17;22;1;3;27;8;17;0;177;191;400;3;112;592;10;27;2;62;55;8;0;0;0;0;0;0;0;0;2707;91540;124416;215956;3456;2400;5856;
1;Zürich;10;10;GRÜNE, Junge Grüne – Klima vor Profit;165;8594;9490;1867;172;334;248;653;13;30459;435;649;52;6;1;42;63;6;25;29;36;0;3;76;0;33;632;366;0;104;312;102;9;293;2;0;9;14;27;9;241;43;33;20;0;0;0;0;0;0;0;0;5890;61557;61452;123009;1707;1181;2888;
